RtlAllocateHeap(0x1e257670000L , 0x2 , 0x18) = 0x1e257679060L
RtlFreeHeap(0x1e257670000L , 0x2 , 0x1e2576762d0L) = 0x1
RtlReAllocateHeap(0x1e257670000L , 0x0 , 0x1e2576762d0L , 0x18) = 0x1e257679060L
RtlAllocateHeap(0x1e257670000L , 0x2 , 0x20) = 0x1e257677eb0L
RtlFreeHeap(0x1e257670000L , 0x2 , 0x1e257679060L) = 0x1
RtlReAllocateHeap(0x1e257670000L , 0x0 , 0x1e257679060L , 0x20) = 0x1e257677eb0L
RtlAllocateHeap(0x1e257670000L , 0x2 , 0x30) = 0x1e257679360L
RtlFreeHeap(0x1e257670000L , 0x2 , 0x1e257677eb0L) = 0x1
RtlReAllocateHeap(0x1e257670000L , 0x0 , 0x1e257677eb0L , 0x30) = 0x1e257679360L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x50) = 0x1e255aec6e0L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x50) = 0x1e255aecd40L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec6e0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aecd40L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598263f0L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x2e0) = 0x1e259827660L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x68) = 0x1e259826db0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598263f0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x200) = 0x1e2598273e0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x68) = 0x1e259827950L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x2e0) = 0x1e2598279c0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x68) = 0x1e259827cb0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598264b0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826270L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae9b30L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826360L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826510L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598263c0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598264e0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826db0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259827660L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598275f0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826e20L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598263f0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259827cb0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598279c0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x50) = 0x1e255aec0e0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec0e0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x50) = 0x1e255aec2c0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec2c0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x50) = 0x1e255aec0e0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec0e0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x100) = 0x1e255ae0320L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed660L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed810L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed360L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aec8c0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed660L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed810L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed360L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec8c0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae0320L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0xac) = 0x1e255ac90c0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ac90c0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x10b) = 0x1e255ac90c0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x60) = 0x1e259826db0L
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x6e) = 0x1e255ae3550L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x28) = 0x1e259826360L
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x76) = 0x1e255ae3450L
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x76) = 0x1e255ae34d0L
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x40) = 0x1e255aea530L
